,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
241,BP MOLMAR,1.379,1.521,1.289,"CR C-245 GARRAF-BARCELONA KM 8,9 (CARRETERA km 179)",SANT BOI DE LLOBREGAT,L-D 06,2019-04-14 14:07:58.867659
242,BP SAN BOI,1.369,1.519,1.279,"CALLE CANTABRIA, 3",SANT BOI DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
243,GALP,1.229,1.349,1.139,CARRETERA SANTA CREU DE CALAFELL DE KM. 10,SANT BOI DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
244,REPSOL,1.363,1.479,1.264,"CALLE MURCIA, S/N",SANT BOI DE LLOBREGAT,L 24H,2019-04-14 14:07:58.867659
245,EASY FUEL,1.222, ,1.111,"CALLE AZUAGA, 2",SANT BOI DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
246,BALLENOIL,1.297, ,1.197,"AVINGUDA SEGLE XXI, 79",SANT BOI DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
247,BALLENOIL,1.269, ,1.149,"AVENIDA MARINA DE, 14",SANT BOI DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
248,AVIA,1.279, ,1.189,"CALLE AGUSTI COLL, 18",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
249,REPSOL,1.169,1.219,1.149,"CALLE CTRA DE VIC, 163",MANRESA,L-D 06,2019-04-14 14:07:58.867659
250,ESCLATOIL,1.239, ,1.139,"CARRETERA VIC, CANTONADA C/CASTELLGALÍ KM. 0",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
251,SETSERVEIS,1.339,1.479,1.239,"DOS DE MAIG, 76-84",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
252,PETROSET,1.219,1.309,1.149,"AVENIDA PIRELLI, 29",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
253,PETROMIRALLES, , ,1.209,"CALLE DOCTOR FERRAN, 26",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
254,BONAREA,1.207, ,1.116,"POLIGONO ELS DOLORS CL.SALLENT, 50",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
255,U.S. MANRESA -GAS-OILS ROVIRA-,1.209, ,1.129,"CARRER DOLORS, 19",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
256,REPSOL,1.169,1.219,1.149,"CALLE MURALLA SANT FRANCESC, 54",MANRESA,L-D 06,2019-04-14 14:07:58.867659
257,CEPSA,1.409,1.524,1.319,"CARRETERA C-55 KM. 24,9",MANRESA,L-D 06,2019-04-14 14:07:58.867659
258,PETROCAT,1.449,1.569,1.349,"CARRETERA C-37 KM. 95,39",MANRESA,L-D 06,2019-04-14 14:07:58.867659
259,BP OIL,1.419,1.561,1.299,"CALLE CR. CARDONA, 80/82",MANRESA,L 06,2019-04-14 14:07:58.867659
260,BP OIL ESPAÑA,1.419,1.561,1.299,"CALLE EDISON, 2",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
261,REPSOL,1.439,1.579,1.339,"CALLE CARRETERA DE VIC, 225",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
262,REPSOL,1.389,1.549,1.289,"CALLE CARRETERA DE VIC, 230",MANRESA,L-D 24H,2019-04-14 14:07:58.867659
263,GALP,1.229,1.359,1.149,"AVENIDA DELS DOLORS, 5",MANRESA,L 06,2019-04-14 14:07:58.867659
264,CEPSA,1.409,1.524,1.319,"CARRETERA C-55 KM. 24,9",MANRESA,L-D 06,2019-04-14 14:07:58.867659
265,REPSOL BUTANO, , , ,CARRETERA DE MANRESA AL XUP KM. S/N,MANRESA,L-V 08,2019-04-14 14:07:58.867659
266,REPSOL,1.419,1.539,1.349,"CARRETERA E-9 KM. 14,7",RUBI,L-D 24H,2019-04-14 14:07:58.867659
267,REPSOL,1.419,1.539,1.349,"CARRETERA E-9 KM. 14,9",RUBI,L-D 24H,2019-04-14 14:07:58.867659
268,REPSOL,1.409,1.549,1.319,"CARRETERA C-1413 KM. 9,8",RUBI,L-D 06,2019-04-14 14:07:58.867659
269,SHELL,1.339, ,1.229,"CARRETERA C1413A KM. 9,4",RUBI,L-D 24H,2019-04-14 14:07:58.867659
270,TAMOIL,1.239, ,1.159,CARRETERA TERRASSA KM. 1,RUBI,L-D 24H,2019-04-14 14:07:58.867659
271,PUNTA SOLERA,1.259, ,1.159,"AVENIDA COVA SOLERA, 20",RUBI,L-D 24H,2019-04-14 14:07:58.867659
272,JULIA-OIL,1.408,1.528,1.308,"AV.ELECTRICIDAD,ESQ.CHAPLIN C.VALLHONRAT",RUBI,L-D 05,2019-04-14 14:07:58.867659
273,JULIA-OIL,1.289,1.399,1.189,"CARRETERA RUBI A SANT CUGAT BP-1503 KM. 18,4",RUBI,L-D 05,2019-04-14 14:07:58.867659
274,BP,1.409,1.539,1.309,"CALLE PAGESIA, 2",RUBI,L-D 06,2019-04-14 14:07:58.867659
275,JULIA-OIL (FINA),1.259,1.369,1.159,"CARRETERA C-1413 KM. 12,7",RUBI,L-D 24H,2019-04-14 14:07:58.867659
276,TAMOIL,1.239, ,1.159,"CALLE COMP WAGNER, 21",RUBI,L-D 24H,2019-04-14 14:07:58.867659
277,PETROPRIX,1.229, ,1.139,"CARRETERA C1413A KM. 9,7",RUBI,L-D 24H,2019-04-14 14:07:58.867659
278,AVIA,1.279,1.339,1.179,"AVINGUDA EDUARD TOLDRA, 62",VILANOVA I LA GELTRU,L-D 06,2019-04-14 14:07:58.867659
279,ALCAMPO,1.239,1.329,1.159,"CALLE METALURGIA, 4",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
280,EVOLUTION,1.279,1.339,1.179,"AVENIDA EDUARD TOLDRA, 60",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
281,CEPSA,1.409, ,1.309,"AVENIDA VILAFRANCA, S/N",VILANOVA I LA GELTRU,L-D 06,2019-04-14 14:07:58.867659
282,REPSOL,1.419,1.549,1.319,"CL RONDA EUROPA, 58",VILANOVA I LA GELTRU,L-D 06,2019-04-14 14:07:58.867659
283,GALP,1.379,1.494,1.289,"AVINGUDA EDUARDO TOLDRA, 67",VILANOVA I LA GELTRU,L-D 06,2019-04-14 14:07:58.867659
284,BP,1.389,1.531,1.299,"AVENIDA EDUARD TOLDRA, 68",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
285,BP,1.389,1.531,1.299,"AVENIDA BALMES, 35",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
286,CEPSA,1.379,1.494,1.289,"RONDA EUROPA, S/N",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
287,GASUIR,1.319, ,1.239,"RONDA EUROPA CANTONADA CARRER SOLICRUP, S/N",VILANOVA I LA GELTRU,L-D 24H,2019-04-14 14:07:58.867659
288,GALP,1.299,1.439,1.219,"AVENIDA DE GAVÁ, ESQ. JOSEP TARRADELLAS, SN",VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
289,GALP,1.299,1.439,1.219,"AVENIDA PROGRESO ESQUINA CAN CALDERÓN, SN",VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
290,REPSOL,1.389,1.489,1.309,"CR C-31, 186,58",VILADECANS,L-D 06,2019-04-14 14:07:58.867659
291,CARREFOUR,1.289,1.489,1.209,"AVENIDA DE LA GENERALITAT, 198",VILADECANS,L-J 08,2019-04-14 14:07:58.867659
292,BP VILADECANS,1.379,1.521,1.289,"CALLE AGRICULTURA, 19",VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
293,ES VILAMARINA CEPSA,1.299, ,1.199,CARRETERA VILA KM. 33,VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
294,NATURGY, , , ,"AVENIDA PROGRÉS, 25-27",VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
295,BALLENOIL,1.287, ,1.187,"AVENIDA SEGLE XXI, 44",VILADECANS,L-D 24H,2019-04-14 14:07:58.867659
296,REPSOL,1.429,1.569,1.309,"AVENIDA 303, 1",CASTELLDEFELS,L-D 06,2019-04-14 14:07:58.867659
297,BP GASFELS,1.399,1.515,1.305,"AVENIDA CONSTITUCIO, 364",CASTELLDEFELS,L-D 06,2019-04-14 14:07:58.867659
298,CEPSA,1.409,1.524,1.319,"AVENIDA CONSTITUCIO, 99",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
299,CEPSA,1.419,1.534,1.329,"CALLE GRANADA, 20/24",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
300,GALP,1.354,1.569,1.274,"AVENIDA CANAL OLIMPIC DEL, 21",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
301,LOW COST CASTELLDEFELS,1.239, , ,"AVINGUDA CONSTITUCION, 11",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
302,BALLENOIL,1.237, ,1.177,"AVENIDA CONSTITUCIO, 83",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
303,CARREFOUR,1.299, ,1.219,"CALLE RAL DE VALENCIA, 21",CASTELLDEFELS,L-D 24H,2019-04-14 14:07:58.867659
304,SARAS ENERGIA,1.329,1.444,1.199,"CALLE EL PRAT, 54",PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
305,BP LA RIERA,1.399,1.539,1.309,"CALLE FEDERICA MONTSENY, 2",PRAT DE LLOBREGAT (EL),L 06,2019-04-14 14:07:58.867659
306,GALP,1.379,1.489,1.299,CARRETERA GARRAF KM. 21,PRAT DE LLOBREGAT (EL),L-D 05,2019-04-14 14:07:58.867659
307,CARREFOUR,1.329,1.499,1.219,AUTOVIA DE CASTELLDEFELLS KM. 5,PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
308,BENZOIL,1.249, ,1.169,"CARRER DE LES MORERES, 49",PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
309,BP EL PRAT,1.399,1.541,1.299,"AVENIDA JOSEP ANSELM CLAVE, 106",PRAT DE LLOBREGAT (EL),L-D 06,2019-04-14 14:07:58.867659
310,GP - EL PRAT -,1.205, ,1.145,"CARRETERA CTRA. B-201, PK KM 3,1, KM. 3,1",PRAT DE LLOBREGAT (EL),L-V 07,2019-04-14 14:07:58.867659
311,BALLENOIL,1.247, ,1.167,CARRETERA CA L'ALAIO KM. 3,PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
312,PETROCAT,1.389,1.489,1.309,"LUGAR AEROPUERTO DEL PRAT JUNTO PARRILLA DE TAXIS, S/N",PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
313,CEPSA,1.419,1.534,1.329,"AUTOVIA C-31 KM. 191,8",PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
314,CEPSA,1.419,1.534,1.329,"AVENIDA DEL REMOLAR, 37,39",PRAT DE LLOBREGAT (EL),L-D 24H,2019-04-14 14:07:58.867659
315,MEROIL,1.365,1.418,1.319,"AVENIDA PRAT DE LA RIBA, 100",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
316,AUTONET&OIL;,1.259, ,1.179,"CALLE LLUIS COMPANYS, 60",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
317,OILPRIX,1.275,1.348,1.169,"AVENIDA ENRIC PRAT DE LA RIBA, 10",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
318,CARREFOUR,1.299,1.429,1.219,"Cami Ral, 74 (C.C.CHAMPION)",GRANOLLERS,L-S 08,2019-04-14 14:07:58.867659
319,SARAS ENERGIA,1.319,1.494,1.239,CRTA.COMARCAL 251 KM 1'2,GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
320,SHELL,1.419,1.559,1.309,CL.JOANOT MARTORELL,GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
321,REPSOL,1.429,1.549,1.319,CARRETERA B-5002 KM. 15,GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
322,GALP,1.259,1.369,1.179,"CARRETERA MASNOU KM. 14,8",GRANOLLERS,L-D 06,2019-04-14 14:07:58.867659
323,GALP, , ,1.139,"CALLE JORDI CAMP (ESQ. C/SABADELL), 2",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
324,1PRIMER,1.249, ,1.149,"PASEO CONCA DEL BESOS, 26",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
325,PETROPRIX,1.227, ,1.139,"CALLE TURO D'EN BRUGUET, 2",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
326,BENZOIL,1.249, ,1.159,"CAMI CEMENTIRI, 1",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
327,LOW COST,1.222, ,1.111,"CALLE MATARO, 40",GRANOLLERS,L-D 24H,2019-04-14 14:07:58.867659
328,ESCLATOIL,1.269, ,1.179,"CALLE SAN RAMON, 259",CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
329,PETROPRIX,1.249, ,1.159,"AVENIDA CAN FATJÓ DELS AURONS, SN",CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
330,CEPSA,1.409,1.524,1.319,"RONDA CERDANYOLA, S/N",CERDANYOLA DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
331,CEPSA,1.409,1.524,1.319,"CALLE SANTA ROSA, 49",CERDANYOLA DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
332,REPSOL,1.429,1.529,1.339,"CALLE CAN JERONI MARTI/CTRA SABADELL, 197,5",CERDANYOLA DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
333,CEPSA,1.429,1.544,1.339,AUTOPISTA AP-7 (MRG.DCHO.) KM. 151,CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
334,CEPSA,1.429,1.544,1.339,AUTOPISTA AP-7 (MRG.IZDO.) KM. 151,CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
335,NUROIL,1.219,1.399,1.139,"CALLE BOSC TANCAT, S/N",CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
336,NUROIL,1.219,1.399,1.139,"CALLE SANTA ANNA, 133",CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
337,BALLENOIL,1.217, ,1.122,"CALLE SANTA ANA, 115",CERDANYOLA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
338,OILPRIX,1.284, ,1.173,"CALLE FRIEDRICH WILHELM SERTÜNER, 8",MOLLET DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
339,GOOD PRICE PALAU,1.239, ,1.159,"AVINGUDA BADALONA, 22",MOLLET DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
340,REPSOL,1.409,1.509,1.309,"RONDA LA FARINERA, S/N",MOLLET DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
341,CEPSA,1.409,1.524,1.319,"AVENIDA BURGOS, 81",MOLLET DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
342,SARAS ENERGIA,1.389,1.504,1.269,"AV.RABASSAIRES, S/N",MOLLET DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
343,REPSOL,1.419,1.539,1.309,"CARRER DEL BOSC, 16",MOLLET DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
344,CEPSA,1.409,1.524,1.319,CARRETERA SANTA CREU DE CALAFELL KM. 5,GAVA,L-D 24H,2019-04-14 14:07:58.867659
345,BP LA BOBILA,1.399,1.541,1.299,"AVENIDA JOAN CARLES I ESQ C/ ARGILA, 0",GAVA,L-D 24H,2019-04-14 14:07:58.867659
346,BONAREA,1.205,1.271,1.113,"AVENIDA BERTRAN I GÜELL, 17,19",GAVA,L-D 24H,2019-04-14 14:07:58.867659
347,CAMPSA EXPRESS,1.205, ,1.115,"AVINGUDA BERTRAN I GÜELL, 46",GAVA,L-D 24H,2019-04-14 14:07:58.867659
348,REPSOL,1.376, ,1.269,"CL TARRAGONA, 29-31",GAVA,L-S 05,2019-04-14 14:07:58.867659
349,REPSOL,1.4,1.52,1.3,"CARRETERA AUTOVIA CASTELLDEFELS KM. 16,600",GAVA,L-D 24H,2019-04-14 14:07:58.867659
350,REPSOL,1.4,1.52,1.3,"CARRETERA AUTOVIA DE CASTELLDEFELS KM. 16,600",GAVA,L-D 06,2019-04-14 14:07:58.867659
351,PETROCAT,1.429,1.569,1.319,"CARRETERA C-32 KM. 49,61",GAVA,L-D 06,2019-04-14 14:07:58.867659
352,PETROCAT,1.429,1.569,1.319,"CR C-32, 49,61",GAVA,L-D 06,2019-04-14 14:07:58.867659
353,OIL PRIX,1.254, ,1.133,"CALLE VIC, 12/14",ESPLUGUES DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
354,OIL PRIX,1.294,1.404,1.173,"PLAZA LA SARDANA, 3",ESPLUGUES DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
355,GALP,1.344,1.474,1.264,"AVINGUDA PAÏSOS CATALANS, 2",ESPLUGUES DE LLOBREGAT,L-V 06,2019-04-14 14:07:58.867659
356,PETROMIRALLES,1.309, ,1.239,"CALLE INDUSTRIA, 23",SANT FELIU DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
357,SERVICIOS PETROLIFEROS,1.309,1.379,1.239,"CARRETERA DE LA SANSON, NUMERO 78 KM. 78",SANT FELIU DE LLOBREGAT,L-D 24H,2019-04-14 14:07:58.867659
358,GALP,1.419,1.544,1.309,"CALLE ARMENTERES, 62",SANT FELIU DE LLOBREGAT,L-D 06,2019-04-14 14:07:58.867659
359,FEIXAS AULET,1.289,1.329,1.189,"CTRA. DE RODA, 67",VIC,L-D 07,2019-04-14 14:07:58.867659
360,ZONA DIESEL,1.219, ,1.129,"C/ LLEIDA, 2 P.ACTIV. ECONOMIQUES",VIC,L-D 24H,2019-04-14 14:07:58.867659
361,SHELL,1.299,1.469,1.219,"SABADELL, 4-6",VIC,L-D 24H,2019-04-14 14:07:58.867659
362,ESCLATOIL,1.259, ,1.169,"CALLE RIPOLL, 1",VIC,L-D 24H,2019-04-14 14:07:58.867659
363,SUPECO,1.219,1.349,1.119,"C/Industria, esquina C/Torrelló , s/n (C.C.CHAMPION)",VIC,L-S 09,2019-04-14 14:07:58.867659
364,PETROLIS INDEPENDENTS - PETRO7,1.198, ,1.128,CENTRO COMERCIAL CAPRABO VIC,VIC,L-D 24H,2019-04-14 14:07:58.867659
365,REPSOL,1.429,1.559,1.329,"AVENIDA EIX 11 DE SETEMBRE, 12",VIC,L-D 05,2019-04-14 14:07:58.867659
366,BP,1.389,1.531,1.289,"CALLE TORELLO, 65",VIC,L-D 06,2019-04-14 14:07:58.867659
367,CEPSA,1.409,1.524,1.319,"PASEO GENERALITAT, 33",VIC,L-D 06,2019-04-14 14:07:58.867659
368,REPSOL,1.409,1.549,1.319,"POLIGONO CR C-153 PGNO. MALLOLES, 2,7",VIC,L-V 06,2019-04-14 14:07:58.867659
369,REPSOL,1.429,1.559,1.329,"AVINGUDA EIX 11 DE SETEMBRE, 12",VIC,L-D 06,2019-04-14 14:07:58.867659
370,GMOIL,1.199, ,1.099,"CALLE LLEIDA, 6",VIC,L-D 24H,2019-04-14 14:07:58.867659
371,BONAREA,1.209, ,1.118,"CARRER MATARO, S/N",VIC,L-D 24H,2019-04-14 14:07:58.867659
372,DYNEFF,1.249, ,1.149,"CARRETERA SANT HIPOLIT, 2 KM. 1",VIC,L-S 06,2019-04-14 14:07:58.867659
373,BENZINERES MONTOIL,1.369,1.449,1.284,"AVINGUDA TARRAGONA, 107",VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
374,SERVICIOS PENEDES SA,1.364,1.453,1.286,"CALLE IGUALADA, 70-78",VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
375,PETROMIRALLES,1.289, ,1.239,"CALLE LA MUNIA, 2",VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
376,ESCLATOIL,1.269, ,1.179,CARRETERA BARCELONA KM. 115,VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
377,BY ENERGY,1.319, ,1.259,"AVENIDA RONDA MAR, 24",VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
378,CEPSA,1.409, ,1.319,"CARRETERA N-340 KM. 1213,7",VILAFRANCA DEL PENEDES,L-D 06,2019-04-14 14:07:58.867659
379,MEROIL,1.378,1.453,1.295,"AVINGUDA TARRAGONA, 84",VILAFRANCA DEL PENEDES,L-D 07,2019-04-14 14:07:58.867659
380,ESCLATOIL,1.269, ,1.179,"AVENIDA TARRAGONA, 132-142",VILAFRANCA DEL PENEDES,L-D 24H,2019-04-14 14:07:58.867659
381,REPSOL,1.419, ,1.319,"AVENIDA DE BARCELONA, 34",VILAFRANCA DEL PENEDES,L-D 06,2019-04-14 14:07:58.867659
382,HAM IGUALADA, , , ,"AVENIDA EUROPA, 26",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
383,FER PREU JUST,1.235, ,1.165,"CALLE ALEMANYA, 3",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
384,CARREFOUR,1.349, ,1.229,"AVENIDA PAISES CATALANES, S/N",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
385,REPSOL,1.398,1.514,1.298,"AVENIDA MESTRE MUNTAMER, 56",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
386,REPSOL,1.389,1.514,1.298,"AVENIDA EUROPA, 26",IGUALADA,L-D 07,2019-04-14 14:07:58.867659
387,FER PREU JUST (MEROIL),1.335, ,1.245,"CALLE ALEMANYA, 30",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
388,PETROMIRALLES,1.219,1.356,1.169,"CALLE EL REC CANTONADA JOAN MERCADER, S/N",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
389,PETROMIRALLES,1.219, ,1.169,"CALLE GUIMARAES, S/N",IGUALADA,L-D 24H,2019-04-14 14:07:58.867659
390,"MEROIL, S.L.",1.368,1.469,1.279,"AVINGUDA MESTRE MUNTANER,",IGUALADA,L-D 06,2019-04-14 14:07:58.867659
391,REPSOL,1.409,1.509,1.299,"AVINGUDA MONTSERRAT, 2",IGUALADA,L-D 06,2019-04-14 14:07:58.867659
392,PETRONOR,1.409,1.509,1.299,"AVINGUDA ANGEL GUIMERA, 15",IGUALADA,L-D 08,2019-04-14 14:07:58.867659
393,NUROIL,1.219, ,1.139,"CALLE BALMES, 34",RIPOLLET,L-D 24H,2019-04-14 14:07:58.867659
394,GALP,1.369,1.539,1.279,CARRETERA N-150 BARCELONA-SABADELL KM. 286,RIPOLLET,L-D 07,2019-04-14 14:07:58.867659
395,GALP,1.369,1.539,1.279,"CALLE TARRAGONA, 15-19 ESQ.CALLE BALMES, 15",RIPOLLET,L-D 24H,2019-04-14 14:07:58.867659
396,REPSOL,1.399,1.519,1.289,"CARRETERA SANTIGA KM. 0,430",RIPOLLET,L-D 06,2019-04-14 14:07:58.867659
397,BP RECA,1.389,1.549,1.289,"CALLE INDUSTRIA, S/N",RIPOLLET,L-D 06,2019-04-14 14:07:58.867659
398,PETROCAT DIRECTE,1.269, ,1.169,"CARRETERA BARCELONA KM. 6,7",RIPOLLET,L-D 24H,2019-04-14 14:07:58.867659
399,CASAMITJANA NONELL, , ,1.135,"CALLE CERANOVA, 13",RIPOLLET,L-V 08,2019-04-14 14:07:58.867659
400,ALCAMPO,1.223,1.284,1.123,"AVENIDA DE LA PLAYA, S/N",SANT ADRIA DE BESOS,L-D 24H,2019-04-14 14:07:58.867659
401,REPSOL,1.429,1.559,1.319,"CALLE GUIPUZCOA ESQ PEDRO IV, S/N",SANT ADRIA DE BESOS,L-D 06,2019-04-14 14:07:58.867659
402,CEPSA,1.409,1.524,1.299,"CALLE LLULL ESQ EDUAR MARISTANY, S/N",SANT ADRIA DE BESOS,L-D 24H,2019-04-14 14:07:58.867659
403,MEROIL,1.409,1.509,1.299,"CALLE CARRETERA DE MATARO, 10",SANT ADRIA DE BESOS,L-D 24H,2019-04-14 14:07:58.867659
404,GALP,1.409,1.519,1.299,"CALLE GUIPUZCOA, S/N",SANT ADRIA DE BESOS,L-D 06,2019-04-14 14:07:58.867659
405,GALP,1.239, ,1.129,"C/TORRASSA, 87-95",SANT ADRIA DE BESOS,L-D 24H,2019-04-14 14:07:58.867659
406,REPSOL,1.429,1.569,1.329,"CARRETERA C-17 KM. 1,5",MONTCADA CENTRE,L-D 24H,2019-04-14 14:07:58.867659
407,REPSOL,1.429,1.569,1.329,CARRETERA SANT ADRIA ROCA KM. 7,MONTCADA CENTRE,L-D 06,2019-04-14 14:07:58.867659
408,REPSOL,1.429,1.569,1.329,"CARRETERA N-152 KM. 11,9",MONTCADA CENTRE,L-D 05,2019-04-14 14:07:58.867659
409,CEPSA,1.409,1.524,1.319,"POLIGONO INDUSTRIAL HERMES, 4",MONTCADA CENTRE,L-D 06,2019-04-14 14:07:58.867659
410,CEPSA,1.429,1.544,1.335,"AUTOVIA A-17 KM. 5,2",MONTCADA CENTRE,L-D 07,2019-04-14 14:07:58.867659
411,CEPSA,1.409,1.524,1.319,"AVINGUDA LA FERRERIA ESQ/ TRABAJO, S/N",MONTCADA CENTRE,L-V 06,2019-04-14 14:07:58.867659
412,PETROLOWCOST,1.249, ,1.179,"CALLE CAN MILANS, 1",MONTCADA CENTRE,L-D 24H,2019-04-14 14:07:58.867659
413,GM OIL,1.209, ,1.129,"AVENIDA LA FERRERIA, S/N",MONTCADA CENTRE,L-D 24H,2019-04-14 14:07:58.867659
414,GALP,1.394,1.534,1.304,"AUTOPISTA C- 33 KM. 82,5",CAN CUIAS,L-D 24H,2019-04-14 14:07:58.867659
415,BP PORTAL DEL VALLES IZDA.,1.349,1.469,1.249,"CR C-58 TARR.-BARCEL. IZ. KM 2,8",CAN CUIAS,L-D 24H,2019-04-14 14:07:58.867659
416,BP PORTAL DEL VALLES DCHA.,1.349,1.469,1.249,"CR A-18 BARC.-TARR.DCHA. KM 2,8",CAN CUIAS,L-D 24H,2019-04-14 14:07:58.867659
417,PETROCAT,1.419,1.543,1.309,"CR BV-2001, 2.1 (BV-2001 km 2,1)",SANT JOAN DESPI,L-D 06,2019-04-14 14:07:58.867659
418,3 PUNT TRES,1.29,1.41,1.21,"MOSSEN JACINTO VERDAGUER, 83-85",SANT JOAN DESPI,L-D 24H,2019-04-14 14:07:58.867659
419,OIL PRIX,1.315,1.415,1.189,"AVENIDA BARCELONA, 41,43",SANT JOAN DESPI,L-D 24H,2019-04-14 14:07:58.867659
420,SHELL,1.429,1.569,1.329,"AVENIDA BAIX LLOBREGAT, S/N",SANT JOAN DESPI,L-D 24H,2019-04-14 14:07:58.867659
421,GALP,1.309,1.439,1.189,"AVENIDA BARCELONA, 28",SANT JOAN DESPI,L-D 06,2019-04-14 14:07:58.867659
422, BP SANTIGA,1.389,1.549,1.289,"CR DE RIPOLLET A SANTIGA KM 2,4",BARBERA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
423,REPSOL,1.429,1.529,1.329,"CARRETERA N-150 KM. 8,6",BARBERA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
424,REPSOL,1.429,1.529,1.329,"CL RONDA SANTA MARIA ,202-210 (ESQ.",BARBERA DEL VALLES,L-D 06,2019-04-14 14:07:58.867659
425,BALLENOIL,1.329, ,1.239,"RONDA INDUSTRIA, 38",BARBERA DEL VALLES,L-D 24H,2019-04-14 14:07:58.867659
