,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
12037,PCAN,0.954,0.987,0.932,"AVENIDA HIPOLITO SINFORIANO,8, 8",GUANCHA (LA),L-S 06,2019-04-15 16:22:30.029619
12038,DISA STO DOMINGO,0.919, ,0.899,"AVENIDA OCHO DE AGOSTO, 37",SANTO DOMINGO,L-S 08,2019-04-15 16:22:35.560246
12039,E.S. CEPSA LA CALETA,0.915,1.009,0.904,"CR ICOD-BUENAVISTA, KM. 8,9",GARACHICO,L-D 06,2019-04-15 16:22:41.168914
12040,REPSOL,0.929,0.999,0.919,"CARRETERA TF-5 KM. 46,3",SAN JUAN DE LA RAMBLA,L-D 05,2019-04-15 16:22:46.616596
12041,DISA VALVERDE,1.183,1.259,1.132,"CALLE CONSTITUCION, 22",VALVERDE DEL HIERRO,L-S 06,2019-04-15 16:22:52.151399
12042,DISA,1.176,1.252,1.123,LODERO S/N (AEROPUERTO -MAZO km 5),LODERO,L-D 07,2019-04-15 16:22:57.880656
12043,DISA,0.915,1.009,0.904,"AVENIDA JUAN MENDEZ EL VIEJO, S/N",BUENAVISTA DEL NORTE,L-S 06,2019-04-15 16:23:03.491630
12044,DISA LOS SILOS,0.905,0.999,0.894,"CALLE FELIX BENITEZ DE LUGO S/N LOS MORALITOS (GENERAL TF-142 KM 11), 28","SILOS, LOS",L-D 06,2019-04-15 16:23:08.300171
12045,SHELL,1.172,1.248,1.119,"AVENIDA LA CONSTITUCION, 4",TAZACORTE,L-D 06,2019-04-15 16:23:13.240980
12046,CEPSA,1.169,1.248,1.118,CARRETERA CARRETERA GENERAL LP1 KM. 27,SAUCES (LOS),L-D 06,2019-04-15 16:23:18.231942
12047,DISA,1.172,1.248,1.119,"AVENIDA LOS SAUCES, 40",SAUCES (LOS),L-D 07,2019-04-15 16:23:23.764163
12048,DISA VALLE GRAN REY,1.167,1.243,1.116,"CALLE CAIDERO, 6",CALERA (LA),L-D 07,2019-04-15 16:23:30.139024
12049,DISA EL PINAR,1.183,1.259,1.132,"TRAVESÍA DEL PINAR, 29",PINAR (EL),L-S 07,2019-04-15 16:23:35.687600
12050,DISA FRONTERA,1.183,1.259,1.132,"CALLE CRTRA GRAL TIGADAY, S/N",FRONTERA,L-D 06,2019-04-15 16:23:40.975682
